"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 17 16:57:54 UTC 2026","Mon Aug 17 16:57:55 UTC 2026","932","Demo · Cart + checkout — positive","","","","","adds Sauce Labs Backpack to cart",""
"passed","Mon Aug 17 16:57:51 UTC 2026","Mon Aug 17 16:57:51 UTC 2026","624","FE test — Shopping flow (add → checkout → order complete)","","","","","can add all available products to a cart",""
"passed","Mon Aug 17 16:57:59 UTC 2026","Mon Aug 17 16:58:00 UTC 2026","1403","Demo · Checkout — negative (missing fields)","","","","","missing zip code is rejected",""
"passed","Mon Aug 17 16:57:57 UTC 2026","Mon Aug 17 16:57:59 UTC 2026","1548","Demo · Checkout — negative (missing fields)","","","","","missing last name is rejected",""
"passed","Mon Aug 17 16:58:03 UTC 2026","Mon Aug 17 16:58:03 UTC 2026","142","Demo · Login — negative","","","","","empty username shows error",""
"passed","Mon Aug 17 16:57:55 UTC 2026","Mon Aug 17 16:57:56 UTC 2026","1723","Demo · Cart + checkout — positive","","","","","completes a full checkout",""
"passed","Mon Aug 17 16:57:51 UTC 2026","Mon Aug 17 16:57:51 UTC 2026","103","FE test — Shopping flow (add → checkout → order complete)","","","","","can checkout a cart",""
"passed","Mon Aug 17 16:57:51 UTC 2026","Mon Aug 17 16:57:52 UTC 2026","890","FE test — Shopping flow (add → checkout → order complete)","","","","","can finish an order",""
"passed","Mon Aug 17 16:58:02 UTC 2026","Mon Aug 17 16:58:02 UTC 2026","857","Demo · Login — negative","","","","","locked_out_user is rejected",""
"passed","Mon Aug 17 16:58:04 UTC 2026","Mon Aug 17 16:58:05 UTC 2026","897","Demo · Login — valid","","","","","standard_user logs in and lands on the inventory page",""
"passed","Mon Aug 17 16:58:03 UTC 2026","Mon Aug 17 16:58:03 UTC 2026","597","Demo · Login — negative","","","","","wrong password is rejected",""
"passed","Mon Aug 17 16:57:51 UTC 2026","Mon Aug 17 16:57:51 UTC 2026","155","FE test — Shopping flow (add → checkout → order complete)","","","","","check product list",""
